[94, 'left']
[138, 'right']
[175, 'left']
[211, 'right']
[248, 'left']
[279, 'right']
[327, 'left']
[362, 'right']
[400, 'left']
[436, 'right']
[478, 'left']
[511, 'right']
[552, 'left']
[589, 'right']
[629, 'left']
[666, 'right']
[705, 'left']
[744, 'right']
[785, 'left']
[819, 'right']
[854, 'left']
[889, 'right']
[919, 'left']
[963, 'right']
[1002, 'left']
[1037, 'right']
[1075, 'left']
[1109, 'right']
[1150, 'left']
[1185, 'right']
[1224, 'left']
[1264, 'right']
[1303, 'left']
[1337, 'right']
[1376, 'left']
[1413, 'right']
[1452, 'left']
[1489, 'right']
[1528, 'left']
[1569, 'right']
[1609, 'left']
[1647, 'right']
[1685, 'left']
[1718, 'right']
[1755, 'left']
[1790, 'right']
[1834, 'left']
[1869, 'right']
[1904, 'left']
[1941, 'right']
[1985, 'left']
[2022, 'right']
[2062, 'left']
[2095, 'right']
[2128, 'left']
[2162, 'right']
[2212, 'left']
[2248, 'right']
[2285, 'left']
[2320, 'right']
[2364, 'left']
[2395, 'right']
[2429, 'left']
[2467, 'right']
[2507, 'left']
[2545, 'right']
[2584, 'left']
[2545, 'right']
[2607, 'end']
